Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@TMCPoldaMetro,06.10 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 12+800 (Tomang arah Pluit) terpantau lancar. https://t.co/vkR1MCaoPe,6/5/2022 23:10,in,,3,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,21.23 Situasi arus lalu lintas di ruas Tol JORR KM 19+300 Pondok Pinang terpantau ramai lancar. https://t.co/0O6oMEqoRm,6/5/2022 14:23,in,,3,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076625,9338,TRUE,,
@TMCPoldaMetro,18.57 Situasi arus lalu lintas di Traffic Light Grogol Jakbar menuju arah Jl. KH Hasyim Azhari maupun arah Tomang terpantau ramai lancar. https://t.co/ZOnvqNb37n,6/4/2022 11:57,in,,5,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,18.36 Situasi arus lalu lintas di Ruas Tol Jagorawi KM 04+500 (TMII arah Jakarta) terpantau ramai lancar. https://t.co/38FHuGWvrM,6/4/2022 11:36,in,,4,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,17.54 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 07+400 (Semanggi) menuju arah Cawang maupun arah Tomang terpantau ramai lancar. https://t.co/4YkQRl7d5L,6/4/2022 10:54,in,,4,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,17.36 Situasi arus lalu lintas di Traffic Light Tugu Tani Jakpus menuju arah Jl. Medan Merdeka Selatan terpantau ramai lancar. https://t.co/I569R6bcG2,6/4/2022 10:36,in,,4,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,17.27 Situasi arus lalu lintas di Traffic Light Tomang Jakbar menuju arah Grogol terpantau ramai lancar. https://t.co/VNdKJr7Jli,6/4/2022 10:27,in,,4,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,17.05 Situasi arus lalu lintas di Traffic Light Kalibata Jaksel menuju arah Pasar Minggu terpantau ramai lancar. https://t.co/SNgIWoiaUo,6/4/2022 10:05,in,,17,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,16.18 Situasi arus lalu lintas di Traffic Light Perintis Kemerdekaan Kelapa Gading Jakut terpantau ramai lancar. https://t.co/cth8Cl04DY,6/4/2022 9:19,in,,9,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,16.02 Situasi arus lalu lintas di Jl. Prapanca Raya Jaksel terpantau ramai lancar. https://t.co/VWBpcK5gXq,6/4/2022 9:02,in,,7,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,14.49 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 12+200 (Slipi) menuju arah Tomang maupun Sebaliknya terpantau ramai lancar. https://t.co/ECbIoJqya1,6/4/2022 7:49,in,,6,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,13.48 Situasi arus lalu lintas di Tol Dalam Kota KM 00+300 Cawang menuju arah Pancoran terpantau padat. https://t.co/Xqx2GtbBSR,6/4/2022 6:48,in,,3,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
